event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
f37a2ea2-ffd2-4be1-ae29-4d6fcdaa75c8,redis-py,1784865717539280339,1784865717540599082,1784865717540610870,1784865717540617720,1.318743,0.00685
28947f12-5bda-4d7a-8819-ae670f2b2ca1,redis-py,1784865717539280339,1784865717540663820,1784865717540672713,1784865717540678112,1.383481,0.005399
bd1d1124-a984-42f1-b66b-28b07f32153e,redis-py,1784865717539280339,1784865717540712654,1784865717540720046,1784865717540724363,1.432315,0.004317
6db048b0-fb35-4772-b8a4-385ff5d3bf54,redis-py,1784865717539280339,1784865717540754840,1784865717540762050,1784865717540766227,1.474501,0.004177
e4c17700-43bb-43a3-ac49-f13944a9566e,redis-py,1784865717539280339,1784865717540796213,1784865717540802642,1784865717541735316,1.515874,0.932674
72e045c1-5699-46b1-b609-47e88ca8b9c6,redis-py,1784865728539720357,1784865728550766215,1784865728550826667,1784865728550872397,11.045858,0.04573
cbdba06b-9e29-414c-bc4f-9580fbb9f441,redis-py,1784865730539800360,1784865730541830966,1784865730541886661,1784865730541929817,2.030606,0.043156
2526c2b2-3b7c-436a-b75d-14c0e76b7337,redis-py,1784865730539800360,1784865730542184436,1784865730542197525,1784865730542205638,2.384076,0.008113
a08bd5e4-b884-40a9-99e7-2e6ec11c9468,redis-py,1784865732539880363,1784865732541921767,1784865732541979054,1784865732542023302,2.041404,0.044248
6a9dcea1-2952-4c3a-98e4-4c6c65274736,redis-py,1784865732539880363,1784865732542281947,1784865732542294055,1784865732542301227,2.401584,0.007172
b4b06f9a-98a5-44e6-ba3e-b31d9951b125,redis-py,1784865732539880363,1784865732542346986,1784865732542356471,1784865732542361759,2.466623,0.005288
97be3159-7459-47e2-a9a3-236c8c402e2e,redis-py,1784865733539920365,1784865733540959209,1784865733541009155,1784865733541049917,1.038844,0.040762
c3323881-9112-4b7d-b3cf-06062fcb5902,redis-py,1784865733539920365,1784865733541276453,1784865733541288752,1784865733541295924,1.356088,0.007172
6aa04e2b-f226-4e4c-84a1-6438d188c9a6,redis-py,1784865735540000368,1784865735540110286,1784865735540177148,1784865735540220975,0.109918,0.043827
c7d7a1e8-0f1a-4674-8818-e29ff292795b,redis-py,1784865736540040369,1784865736541092876,1784865736541145136,1784865736541181462,1.052507,0.036326
97d8e43c-7f14-4447-ae06-290765162250,redis-py,1784865736540040369,1784865736541378803,1784865736541390681,1784865736541398072,1.338434,0.007391
c8ff62dc-59ef-4080-baee-5f6217dbc1bb,redis-py,1784865736540040369,1784865736541444834,1784865736541454068,1784865736541460257,1.404465,0.006189
b248d17d-7408-44b7-80ac-950b87e98a57,redis-py,1784865736540040369,1784865736541496893,1784865736541504224,1784865736541508490,1.456524,0.004266
ed61d850-a665-4e5e-a9b4-fa4860cd73a9,redis-py,1784865737540080371,1784865737541119929,1784865737541176184,1784865737541218219,1.039558,0.042035
c9f142b4-0f18-423c-9272-741f44713316,redis-py,1784865737540080371,1784865737541431694,1784865737541443213,1784865737541450564,1.351323,0.007351
be1bdcf2-142d-411b-ba28-d6c2499bbd28,redis-py,1784865737540080371,1784865737541497735,1784865737541506509,1784865737541511927,1.417364,0.005418
b45e1a89-6f3c-4d8f-ad6c-9deb82845628,redis-py,1784865737540080371,1784865737541547080,1784865737541554942,1784865737541559240,1.466709,0.004298
db789b2b-870f-4716-b452-e54958307050,redis-py,1784865737540080371,1784865737541589715,1784865737541596076,1784865737541600202,1.509344,0.004126
0e3ede14-3ebc-41c2-a975-1d49d5de4bb2,redis-py,1784865738540120373,1784865738541166329,1784865738541213391,1784865738541251589,1.045956,0.038198
0e7d8edf-fcfa-4072-b346-cbca8880cbc6,redis-py,1784865738540120373,1784865738541450843,1784865738541462652,1784865738541469482,1.33047,0.00683
f10a1738-f05c-41c3-bb31-199f77d1efe5,redis-py,1784865738540120373,1784865738541514621,1784865738541523274,1784865738541528391,1.394248,0.005117
ba8994b3-43e5-4898-9f47-3d747cc8a03e,redis-py,1784865739540160374,1784865739541202860,1784865739541253608,1784865739541292788,1.042486,0.03918
53f544f0-0701-4acc-8950-50e2edc7b679,redis-py,1784865739540160374,1784865739541502998,1784865739541517261,1784865739541525924,1.342624,0.008663
2fa0470b-b096-4e0f-8f7e-5c3bdc27abbd,redis-py,1784865742540280379,1784865742543323789,1784865742543380555,1784865742543421428,3.04341,0.040873
eb426907-87c9-419e-8ee6-0ed8b6b740e4,redis-py,1784865743540320381,1784865743541351289,1784865743541399703,1784865743541437501,1.030908,0.037798
5ba62c14-0531-4810-8b10-81c900dabc24,redis-py,1784865750540600392,1784865750547644223,1784865750547700689,1784865750547741251,7.043831,0.040562
c1a39259-85ef-4ad6-a099-74dca9a15d3d,redis-py,1784865753540720397,1784865753543758093,1784865753543814188,1784865753543857144,3.037696,0.042956
4720aca0-dc33-4b91-bf79-28e5d02a9823,redis-py,1784865759540960406,1784865759546997366,1784865759547052460,1784865759547106602,6.03696,0.054142
8343a3d7-f2a3-4b5f-8a66-ee83553e0b14,redis-py,1784865760541000408,1784865760542031534,1784865760542093920,1784865760542131197,1.031126,0.037277
d684e5e4-ee5a-4a7a-8013-d787ae77e932,redis-py,1784865760541000408,1784865760542332784,1784865760542344453,1784865760542351944,1.332376,0.007491
8861d98d-8203-4cf2-a8cd-292630b66f01,redis-py,1784865760541000408,1784865760542396833,1784865760542405496,1784865760542410733,1.396425,0.005237
5e363256-e968-42b8-b91a-ff98b9978997,redis-py,1784865761541040409,1784865761542092090,1784865761542148837,1784865761542186685,1.051681,0.037848
ceca0c62-9a68-4003-a66f-6408d2996153,redis-py,1784865761541040409,1784865761542388854,1784865761542399840,1784865761542406421,1.348445,0.006581
2e82cdf4-082a-4d1e-9590-c48cd417ba08,redis-py,1784865762541080411,1784865762542121498,1784865762542173829,1784865762542212358,1.041087,0.038529
6bc4c8b2-62da-473a-b751-2a43ebdc54fb,redis-py,1784865762541080411,1784865762542414085,1784865762542425553,1784865762542432203,1.333674,0.00665
4522c929-1571-459e-b17b-c2ab5a6247a2,redis-py,1784865762541080411,1784865762542476711,1784865762542485414,1784865762542490402,1.3963,0.004988
06d8c140-613c-415f-897a-9ff64cf3c9e4,redis-py,1784865764541160414,1784865764543207598,1784865764543264225,1784865764543305428,2.047184,0.041203
a10f0ac6-c79a-4bb1-b6a3-6a425336db0b,redis-py,1784865766541240417,1784865766543287068,1784865766543345698,1784865766543390707,2.046651,0.045009
e513158e-b9e9-40d0-a11f-a77b226a2fdf,redis-py,1784865766541240417,1784865766543618264,1784865766543630102,1784865766543636903,2.377847,0.006801
61823ed4-1479-4890-b776-23c242285441,redis-py,1784865768541320421,1784865768543362795,1784865768543418390,1784865768543458642,2.042374,0.040252
df1c3c1b-e9a2-4e50-a24b-0789cd2a61bd,redis-py,1784865769541360422,1784865769542401543,1784865769542450667,1784865769542490258,1.041121,0.039591
16f50eaa-bf9a-435a-869e-b4b94d90aef3,redis-py,1784865769541360422,1784865769542689552,1784865769542702973,1784865769542710755,1.32913,0.007782
5bc87cbd-db36-4bd5-a4d7-c07ed5435238,redis-py,1784865769541360422,1784865769542761281,1784865769542770615,1784865769542775794,1.400859,0.005179
1bedfa64-1d37-4506-aa21-4945f199f31e,redis-py,1784865770541400424,1784865770542436024,1784865770542484017,1784865770542521985,1.0356,0.037968
929a1602-3f39-4a54-810e-a0a90e250ff3,redis-py,1784865770541400424,1784865770542725225,1784865770542737044,1784865770542744115,1.324801,0.007071
5cbd0c3c-0bbf-4858-9d74-0206232f9fca,redis-py,1784865770541400424,1784865770542791256,1784865770542800130,1784865770542805968,1.390832,0.005838
4d521520-8fe2-4624-a9ba-edbd457751d2,redis-py,1784865773541520429,1784865773544565448,1784865773544621033,1784865773544662055,3.045019,0.041022
d5d8d151-674a-421d-8a54-7f334aa9777f,redis-py,1784865773541520429,1784865773544890644,1784865773544902403,1784865773544909764,3.370215,0.007361
e5697ff1-eca1-4a24-aae7-62ba05de1074,redis-py,1784865774541560430,1784865774542595592,1784865774542644466,1784865774542685238,1.035162,0.040772
9bd995e3-84c3-4035-856f-bdba64f40d06,redis-py,1784865774541560430,1784865774542885124,1784865774542896992,1784865774542904443,1.324694,0.007451
2710caf5-de6e-4803-a75f-13924c689eff,redis-py,1784865776541640433,1784865776543684636,1784865776543742894,1784865776543786531,2.044203,0.043637
