t_wall,rho,loadavg
1784958277.5732598,0.80201,6.42
1784958278.0752468,0.80549,6.42
1784958278.5759828,0.8005,6.42
1784958279.0762262,0.80299,6.42
1784958279.5769775,0.7995,6.42
1784958280.0773034,0.8025,6.42
1784958280.5792384,0.8005,6.42
1784958281.0800326,0.80451,6.42
1784958281.5807781,0.798,6.42
1784958282.0815432,0.80348,6.3
1784958282.5838497,0.8005,6.3
1784958283.085158,0.805,6.3
1784958283.5859435,0.79302,6.3
1784958284.0863476,0.8125,6.3
1784958284.5893967,0.79602,6.3
1784958285.0899515,0.8025,6.3
1784958285.5905135,0.8075,6.3
1784958286.0923188,0.801,6.3
1784958286.5928984,0.79699,6.3
1784958287.093477,0.80597,6.44
1784958287.596391,0.80299,6.44
1784958288.0969388,0.795,6.44
1784958288.597305,0.80798,6.44
1784958289.0982523,0.8025,6.44
1784958289.6002421,0.8005,6.44
1784958290.1012552,0.798,6.44
1784958290.6032746,0.795,6.44
1784958291.1072571,0.80893,6.44
1784958291.6080453,0.805,6.44
1784958292.1088402,0.7975,6.32
1784958292.6102633,0.80299,6.32
1784958293.111024,0.80702,6.32
1784958293.6118476,0.80645,6.32
1784958294.1122477,0.795,6.32
1784958294.612986,0.80201,6.32
1784958295.1143312,0.805,6.32
1784958295.6151536,0.80299,6.32
1784958296.1172616,0.80549,6.32
1784958296.6180422,0.7875,6.32
1784958297.118797,0.8005,6.46
1784958297.6192544,0.8175,6.46
1784958298.1202548,0.79302,6.46
1784958298.6223037,0.80299,6.46
1784958299.12312,0.80549,6.46
1784958299.6239052,0.795,6.46
1784958300.1243463,0.8005,6.46
1784958300.6253238,0.8005,6.46
1784958301.1292539,0.80645,6.46
1784958301.6300359,0.79198,6.46
1784958302.1308362,0.8005,6.5
1784958302.6322749,0.801,6.5
1784958303.1330407,0.80451,6.5
1784958303.6352906,0.80348,6.5
1784958304.1360822,0.79551,6.5
1784958304.6382895,0.81095,6.5
1784958305.1390874,0.79,6.5
1784958305.63985,0.798,6.5
1784958306.1402721,0.81203,6.5
1784958306.6422446,0.80549,6.5
1784958307.1430066,0.8,6.38
1784958307.6437922,0.8,6.38
1784958308.1445625,0.80798,6.38
1784958308.6482375,0.79653,6.38
1784958309.1489935,0.79551,6.38
1784958309.6512394,0.8209,6.38
1784958310.153247,0.80597,6.38
1784958310.6540082,0.8,6.38
1784958311.154781,0.8125,6.38
1784958311.6572454,0.801,6.38
1784958312.158025,0.805,6.35
1784958312.6588545,0.8075,6.35
1784958313.159249,0.8005,6.35
1784958313.660017,0.79449,6.35
1784958314.1608138,0.80549,6.35
1784958314.6642563,0.80149,6.35
1784958315.1651049,0.7995,6.35
1784958315.665906,0.80299,6.35
1784958316.1662543,0.80201,6.35
1784958316.6670244,0.79302,6.35
1784958317.1678016,0.801,6.32
1784958317.6682565,0.81,6.32
