row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
987,3895107,dc575121-fa02-4a88-80f6-f63114d8cace,1,23,45,1425,11.875,Ball Receipt*,FC Köln,Timo Hübers,00:23:45.757,45
988,3895107,02a85b73-dde0-4a4f-8cba-c29f472d8bf5,1,23,45,1425,11.875,Carry,FC Köln,Timo Hübers,00:23:45.757,45
989,3895107,bb485122-cad1-41d6-8284-3ff40c97fec2,1,23,46,1426,11.883333333333333,Pass,FC Köln,Timo Hübers,00:23:46.189,45
990,3895107,ad20fd93-b620-45bf-bb2b-9b5a13ac14ca,1,23,47,1427,11.891666666666667,Ball Receipt*,FC Köln,Rasmus Carstensen,00:23:47.505,45
991,3895107,2856039f-a250-423b-9797-cee1cd467753,1,23,47,1427,11.891666666666667,Carry,FC Köln,Rasmus Carstensen,00:23:47.505,45
992,3895107,2697d0bc-abdb-47ee-89b1-d61adeec3e7e,1,23,48,1428,11.9,Pressure,Bayer Leverkusen,Florian Wirtz,00:23:48.650,45
993,3895107,630da974-ee53-4164-9878-549858e7f622,1,23,50,1430,11.916666666666666,Pass,FC Köln,Rasmus Carstensen,00:23:50.542,45
994,3895107,1d0161b5-9b5c-4d1d-a3a5-5f51b8469ecd,1,23,51,1431,11.925,Ball Receipt*,FC Köln,Timo Hübers,00:23:51.480,45
995,3895107,46a49e05-c335-4ab5-b6c9-7a08223a861e,1,23,51,1431,11.925,Carry,FC Köln,Timo Hübers,00:23:51.480,45
996,3895107,629efdb9-5f1b-4773-aadd-df89eae0c219,1,23,52,1432,11.933333333333334,Pass,FC Köln,Timo Hübers,00:23:52.243,45
997,3895107,8ca289a0-4dfa-47f7-a706-9c3f1c729eab,1,23,52,1432,11.933333333333334,Pressure,Bayer Leverkusen,Jonas Hofmann,00:23:52.931,45
998,3895107,9a292275-cc6e-4504-a769-7f6dd730d5bc,1,23,53,1433,11.941666666666666,Ball Receipt*,FC Köln,Eric Martel,00:23:53.221,45
999,3895107,d2b331a8-31ff-4c05-9cf9-6842ef775641,1,23,53,1433,11.941666666666666,Carry,FC Köln,Eric Martel,00:23:53.221,45
1000,3895107,106a0127-b2c9-4c11-a814-b49d5dff3c18,1,23,53,1433,11.941666666666666,Pass,FC Köln,Eric Martel,00:23:53.715,45
1001,3895107,90f39fe8-1dd0-4d17-8f67-52835c467721,1,23,54,1434,11.95,Pressure,Bayer Leverkusen,Alejandro Grimaldo García,00:23:54.224,45
1002,3895107,d54d79e5-1031-45a8-8646-f73155a7897d,1,23,54,1434,11.95,Ball Receipt*,FC Köln,Dejan Ljubicic,00:23:54.420,45
1003,3895107,ba31612b-3f7c-43fb-9b6a-83de19f1ea48,1,23,54,1434,11.95,Pass,FC Köln,Dejan Ljubicic,00:23:54.420,45
1004,3895107,af4128ba-0444-4cd1-b14a-dbcf8c4014e6,1,23,55,1435,11.958333333333334,Ball Receipt*,FC Köln,Rasmus Carstensen,00:23:55.378,45
1005,3895107,1d8aabc5-5084-4acb-98d0-daa90694dc1f,1,23,55,1435,11.958333333333334,Carry,FC Köln,Rasmus Carstensen,00:23:55.378,45
1006,3895107,3896bac8-d863-4e78-880a-3928c90e7275,1,23,55,1435,11.958333333333334,Pass,FC Köln,Rasmus Carstensen,00:23:55.690,45
1007,3895107,cdccb3d9-ea17-49b2-8ac2-22e481f287c3,1,23,57,1437,11.975,Ball Receipt*,FC Köln,Denis Huseinbašić,00:23:57.263,45
1008,3895107,7142ea79-365c-4404-86ba-700fce86d658,1,23,57,1437,11.975,Pass,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:23:57.263,46
1009,3895107,8aa2fa41-3b6c-4108-93fb-55225f1797ba,1,23,57,1437,11.975,Pressure,FC Köln,Rasmus Carstensen,00:23:57.982,46
1010,3895107,b36176ef-211c-4fa9-8844-3a90c721f46f,1,23,58,1438,11.983333333333333,Ball Receipt*,Bayer Leverkusen,Alejandro Grimaldo García,00:23:58.228,46
1011,3895107,7fd2920c-57b4-4554-8397-2042e95d1e94,1,23,58,1438,11.983333333333333,Carry,Bayer Leverkusen,Alejandro Grimaldo García,00:23:58.228,46
1012,3895107,d9a62105-0f4f-4b79-bd62-93501097399f,1,23,58,1438,11.983333333333333,Pass,Bayer Leverkusen,Alejandro Grimaldo García,00:23:58.419,46
1013,3895107,ea974fec-c849-4c5c-8136-871544cefb63,1,23,58,1438,11.983333333333333,Pressure,FC Köln,Denis Huseinbašić,00:23:58.989,46
1014,3895107,04f9a5da-06e7-48a7-8a7d-dc840d40d3dd,1,23,59,1439,11.991666666666667,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:23:59.004,46
1015,3895107,48604631-2e3b-4f9a-8a26-d53a1faf7eee,1,23,59,1439,11.991666666666667,Carry,Bayer Leverkusen,Florian Wirtz,00:23:59.004,46
1016,3895107,f1dd45fd-addb-45e7-a4f0-640c5ac22f4d,1,23,59,1439,11.991666666666667,Dispossessed,Bayer Leverkusen,Florian Wirtz,00:23:59.934,46
1017,3895107,2b13002f-a8bb-49b5-a0e4-7c8ab454a53a,1,23,59,1439,11.991666666666667,Duel,FC Köln,Denis Huseinbašić,00:23:59.934,46
1018,3895107,b5b1c89c-3420-49ad-9d03-249d2df3c688,1,23,59,1439,11.991666666666667,Carry,FC Köln,Denis Huseinbašić,00:23:59.934,46
1019,3895107,8e8813fa-0eee-4e0f-8eef-11e222683020,1,24,1,1441,12.008333333333333,Pressure,Bayer Leverkusen,Florian Wirtz,00:24:01.806,46
1020,3895107,c59489f9-f739-4d83-bedc-a8a452f0e3ce,1,24,3,1443,12.025,Dispossessed,FC Köln,Denis Huseinbašić,00:24:03.049,46
1021,3895107,4962e247-6d93-42b6-b6be-c1b0d5a7e6b3,1,24,3,1443,12.025,Duel,Bayer Leverkusen,Florian Wirtz,00:24:03.049,46
1022,3895107,c77db24b-0412-4e7f-bd2d-370ab5936bc4,1,24,10,1450,12.083333333333334,Pass,Bayer Leverkusen,Alejandro Grimaldo García,00:24:10.790,47
1023,3895107,96e687f0-5a8b-48b9-89b3-83e245e426bb,1,24,12,1452,12.1,Ball Receipt*,Bayer Leverkusen,Victor Okoh Boniface,00:24:12.030,47
