n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,gap_min_s,burstiness,match_id,competition_name,season_name,gender,season_start_year
3222,8735.0,0.3688609044075558,2.7,1.0,0.0,1.0,7.3198324022346375,3754131,Premier League,2015/2016,male,2015
2781,8457.0,0.3288400141894289,2.5,1.0,0.0,1.0,7.602481121898598,3754132,Premier League,2015/2016,male,2015
2999,8347.0,0.35929076314843655,2.6,1.0,0.0,1.0,7.236478826275426,3754133,Premier League,2015/2016,male,2015
3199,8456.0,0.3783112582781457,2.8,1.0,0.0,1.0,7.401312910284463,3754134,Premier League,2015/2016,male,2015
3487,8498.0,0.410331842786538,2.9,1.0,0.0,1.0,7.067450530542013,3754135,Premier League,2015/2016,male,2015
3284,8361.0,0.39277598373400313,2.8,1.0,0.0,1.0,7.128745432399512,3754136,Premier League,2015/2016,male,2015
3186,8538.0,0.37315530569219957,2.5,1.0,0.0,1.0,6.699623352165725,3754137,Premier League,2015/2016,male,2015
3049,8502.0,0.35862150082333566,2.6,1.0,0.0,1.0,7.249983601180716,3754138,Premier League,2015/2016,male,2015
3332,8385.0,0.397376267143709,2.5,1.0,0.0,1.0,6.291266506602641,3754139,Premier League,2015/2016,male,2015
3896,8422.0,0.4625979577297554,2.9,1.0,0.0,1.0,6.268942505133469,3754140,Premier League,2015/2016,male,2015
3564,8540.0,0.4173302107728337,3.0,1.0,0.0,1.0,7.188552188552189,3754141,Premier League,2015/2016,male,2015
4015,8300.0,0.48373493975903614,2.5,1.0,0.0,1.0,5.168119551681196,3754142,Premier League,2015/2016,male,2015
3574,8584.0,0.4163560111835974,2.6,1.0,0.0,1.0,6.244655847789592,3754143,Premier League,2015/2016,male,2015
3896,8385.0,0.46463923673226,2.6,1.0,0.0,1.0,5.5957392197125255,3754144,Premier League,2015/2016,male,2015
4018,8348.0,0.4813128893148059,2.9,1.0,0.0,1.0,6.025186660029866,3754145,Premier League,2015/2016,male,2015
3316,8478.0,0.3911299834866714,2.5,1.0,0.0,1.0,6.3917370325693605,3754146,Premier League,2015/2016,male,2015
4174,8518.0,0.49002113172106126,3.3,1.0,0.0,1.0,6.734403449928126,3754147,Premier League,2015/2016,male,2015
2992,8556.0,0.34969611968209446,2.3,1.0,0.0,1.0,6.577139037433154,3754148,Premier League,2015/2016,male,2015
4031,8386.0,0.4806820891962795,3.2,1.0,0.0,1.0,6.657206648474324,3754149,Premier League,2015/2016,male,2015
3358,8525.0,0.393900293255132,3.0,1.0,0.0,1.0,7.616140559857057,3754150,Premier League,2015/2016,male,2015
3039,8531.0,0.35623021920056264,2.3,1.0,0.0,1.0,6.456498848305364,3754151,Premier League,2015/2016,male,2015
3390,8654.0,0.3917263693089901,2.5,1.0,0.0,1.0,6.382005899705015,3754152,Premier League,2015/2016,male,2015
2973,8533.0,0.34841204734559944,2.6,1.0,0.0,1.0,7.46242852337706,3754153,Premier League,2015/2016,male,2015
3800,8467.0,0.4488012282980985,2.5,1.0,0.0,1.0,5.570394736842106,3754154,Premier League,2015/2016,male,2015
