t_wall,rho,loadavg
1784967263.1012542,0.87841,7.2
1784967263.6020377,0.8797,7.2
1784967264.102844,0.8803,7.11
1784967264.6032803,0.885,7.11
1784967265.1052725,0.8806,7.11
1784967265.607278,0.87781,7.11
1784967266.108061,0.88471,7.11
1784967266.6088727,0.88279,7.11
1784967267.1123354,0.87624,7.11
1784967267.6131759,0.88279,7.11
1784967268.1139808,0.88,7.11
1784967268.6148021,0.8806,7.11
1784967269.1163156,0.8775,7.1
1784967269.617118,0.8825,7.1
1784967270.1179,0.8803,7.1
1784967270.6182768,0.8797,7.1
1784967271.122346,0.88337,7.1
1784967271.6231682,0.87811,7.1
1784967272.1239486,0.8825,7.1
1784967272.6242833,0.92462,7.1
1784967273.125099,0.885,7.1
1784967273.627226,0.90323,7.1
1784967274.1280224,0.92,7.17
1784967274.628819,0.87282,7.17
1784967275.1296027,0.8825,7.17
1784967275.6332796,0.88586,7.17
1784967276.1340625,0.87531,7.17
1784967276.634868,0.8775,7.17
1784967277.1352696,0.885,7.17
1784967277.6360872,0.8775,7.17
1784967278.1368868,0.87781,7.17
1784967278.6392808,0.88,7.17
1784967279.140093,0.8825,7.24
1784967279.6408916,0.88,7.24
1784967280.1416962,0.8825,7.24
1784967280.6432722,0.8806,7.24
1784967281.1440642,0.8803,7.24
1784967281.644943,0.88279,7.24
1784967282.1457868,0.87781,7.24
1784967282.6472964,0.8825,7.24
1784967283.150348,0.88308,7.24
1784967283.6511903,0.8803,7.24
1784967284.151964,0.8825,7.06
1784967284.6522803,0.88529,7.06
1784967285.153093,0.87781,7.06
1784967285.6542187,0.895,7.06
1784967286.1550076,0.9075,7.06
1784967286.6558006,0.915,7.06
1784967287.1572485,0.88557,7.06
1784967287.6580417,0.8775,7.06
1784967288.1589158,0.88,7.06
1784967288.6592839,0.8825,7.06
1784967289.1612816,0.88308,7.05
1784967289.662091,0.88221,7.05
1784967290.1629095,0.87562,7.05
1784967290.665277,0.88778,7.05
1784967291.1661003,0.88,7.05
1784967291.6668825,0.87719,7.05
1784967292.1673527,0.8806,7.05
1784967292.6682024,0.88279,7.05
1784967293.1689687,0.88191,7.05
1784967293.6697743,0.8806,7.05
1784967294.1723018,0.88089,7.05
1784967294.6731439,0.88,7.05
1784967295.1752694,0.8803,7.05
1784967295.6760864,0.88,7.05
1784967296.176877,0.8803,7.05
1784967296.6772938,0.8825,7.05
1784967297.1781,0.87781,7.05
1784967297.680283,0.87841,7.05
1784967298.1820073,0.88,7.05
1784967298.6852696,0.88119,7.05
1784967299.1860368,0.88279,7.12
1784967299.6868074,0.88,7.12
1784967300.190326,0.87811,7.12
1784967300.6911654,0.88279,7.12
1784967301.1919427,0.8797,7.12
1784967301.6922638,0.87781,7.12
1784967302.193108,0.885,7.12
1784967302.6938858,0.90274,7.12
1784967303.1972277,0.91811,7.12
1784967303.6979957,0.97739,7.12
1784967304.198752,0.97995,7.84
1784967304.6992416,0.97512,7.84
1784967305.2032146,1.0,7.84
1784967305.7039747,0.97744,7.84
1784967306.206267,0.99751,7.84
1784967306.7071373,0.9225,7.84
1784967307.2079685,0.87811,7.84
1784967307.7082696,0.88972,7.84
1784967308.2090607,0.87719,7.84
1784967308.7102082,0.88337,7.84
1784967309.2110112,0.88221,7.85
1784967309.7132652,0.88308,7.85
1784967310.2140803,0.88,7.85
1784967310.7148848,0.88279,7.85
1784967311.2153609,0.8825,7.85
1784967311.716296,0.8803,7.85
1784967312.2182782,0.8803,7.85
1784967312.7190864,0.8797,7.85
1784967313.2203336,0.87811,7.85
1784967313.7211595,0.8803,7.85
1784967314.2242818,0.88337,7.7
1784967314.7250936,0.88221,7.7
1784967315.2259533,0.8806,7.7
1784967315.7268572,0.8775,7.7
1784967316.2272892,0.88,7.7
1784967316.7280846,0.88722,7.7
1784967317.2288923,0.8825,7.7
1784967317.7296865,0.88,7.7
1784967318.232285,0.8803,7.7
1784967318.733061,0.87218,7.7
1784967319.233869,0.88778,7.64
1784967319.734667,0.88308,7.64
1784967320.2382853,0.8806,7.64
1784967320.7390926,0.88279,7.64
1784967321.2422807,0.88337,7.64
1784967321.743083,0.8797,7.64
1784967322.2438908,0.87781,7.64
1784967322.7442567,0.8825,7.64
1784967323.2450783,0.88279,7.64
1784967323.7458751,0.88221,7.64
1784967324.2462835,0.8803,7.67
1784967324.7470837,0.88221,7.67
1784967325.248376,0.87841,7.67
1784967325.7512882,0.88557,7.67
1784967326.252103,0.88442,7.67
1784967326.752884,0.8803,7.67
1784967327.256264,0.87841,7.67
1784967327.7570386,0.8825,7.67
1784967328.2579243,0.88529,7.67
1784967328.7582994,0.88,7.67
1784967329.2612424,0.8806,7.7
1784967329.762225,0.885,7.7
1784967330.262975,0.88,7.7
1784967330.7642903,0.8803,7.7
1784967331.2651005,0.88,7.7
1784967331.7672987,0.8803,7.7
1784967332.2680988,0.88279,7.7
1784967332.7688656,0.8825,7.7
1784967333.269252,0.88,7.7
1784967333.7700436,0.8775,7.7
1784967334.2712526,0.8825,7.56
1784967334.7720442,0.885,7.56
