run_id,condition,gate,n_events,neg_ack,ms_deleted,over_0.1,over_0.25,over_0.5,over_1
concurrency_n12_20260724_062751_kafka_feed9_rep6,kafka_n12_feed9,fail,127,6,68,127,127,127,6
concurrency_n12_20260724_062751_kafka_feed9_rep7,kafka_n12_feed9,fail,127,3,52,127,127,127,3
concurrency_n12_20260724_062751_kafka_feed9_rep8,kafka_n12_feed9,pass,127,1,46,127,127,127,1
concurrency_n12_20260724_062751_kafka_feed9_rep9,kafka_n12_feed9,pass,127,1,55,127,127,127,1
concurrency_n12_20260724_062751_redis_feed10_rep1,redis_n12_feed10,fail,144,4,72,142,137,70,4
concurrency_n12_20260724_062751_redis_feed10_rep10,redis_n12_feed10,fail,144,2,80,141,138,73,2
concurrency_n12_20260724_062751_redis_feed10_rep11,redis_n12_feed10,pass,144,1,82,144,139,74,1
concurrency_n12_20260724_062751_redis_feed10_rep12,redis_n12_feed10,pass,144,0,83,143,140,72,0
concurrency_n12_20260724_062751_redis_feed10_rep13,redis_n12_feed10,fail,144,2,74,143,136,72,2
concurrency_n12_20260724_062751_redis_feed10_rep14,redis_n12_feed10,pass,144,0,76,144,142,72,0
concurrency_n12_20260724_062751_redis_feed10_rep15,redis_n12_feed10,pass,144,0,69,144,138,71,0
concurrency_n12_20260724_062751_redis_feed10_rep2,redis_n12_feed10,pass,144,0,80,144,140,74,0
concurrency_n12_20260724_062751_redis_feed10_rep3,redis_n12_feed10,fail,144,6,77,144,140,72,6
concurrency_n12_20260724_062751_redis_feed10_rep4,redis_n12_feed10,fail,144,3,79,144,141,74,3
concurrency_n12_20260724_062751_redis_feed10_rep5,redis_n12_feed10,fail,144,2,78,144,142,74,2
concurrency_n12_20260724_062751_redis_feed10_rep6,redis_n12_feed10,fail,144,2,75,143,138,72,2
concurrency_n12_20260724_062751_redis_feed10_rep7,redis_n12_feed10,fail,144,2,83,144,141,72,2
concurrency_n12_20260724_062751_redis_feed10_rep8,redis_n12_feed10,pass,144,0,69,144,141,71,0
concurrency_n12_20260724_062751_redis_feed10_rep9,redis_n12_feed10,pass,144,1,72,141,138,72,1
