t_wall,rho,loadavg
1784966429.3692577,0.80549,6.24
1784966429.870047,0.75689,6.24
1784966430.3732612,0.74876,6.24
1784966430.8743122,0.74876,6.24
1784966431.3751886,0.75124,6.24
1784966431.877269,0.7581,6.24
1784966432.378056,0.7375,6.24
1784966432.8789024,0.765,6.24
1784966433.3796813,0.75062,6.24
1784966433.8812683,0.74564,6.22
1784966434.3820553,0.75,6.22
1784966434.882821,0.75188,6.22
1784966435.3836396,0.74876,6.22
1784966435.884277,0.75,6.22
1784966436.3862367,0.75561,6.22
1784966436.8866901,0.7425,6.22
1784966437.387239,0.75561,6.22
1784966437.8880002,0.74937,6.22
1784966438.3888493,0.74564,6.22
1784966438.889279,0.7525,6.28
1784966439.3900843,0.74687,6.28
1784966439.8908777,0.76309,6.28
1784966440.391265,0.75,6.28
1784966440.8920467,0.7375,6.28
1784966441.393261,0.76368,6.28
1784966441.8940163,0.745,6.28
1784966442.3972592,0.74938,6.28
1784966442.8980126,0.755,6.28
1784966443.4002764,0.7469,6.28
1784966443.9010844,0.75439,6.1
1784966444.4018629,0.7581,6.1
1784966444.9032233,0.81297,6.1
1784966445.4039931,0.8175,6.1
1784966445.9047503,0.83541,6.1
1784966446.4055557,0.97487,6.1
1784966446.9603758,0.95045,6.1
1784966447.6762373,0.95986,6.1
1784966448.4642212,0.96661,6.1
1784966448.965015,0.9599,8.33
1784966449.4658327,0.7575,8.33
1784966449.96629,0.74627,8.33
1784966450.467107,0.7581,8.33
1784966450.967868,0.7525,8.33
1784966451.468626,0.745,8.33
1784966451.971248,0.7606,8.33
1784966452.4720016,0.76441,8.33
1784966452.97278,0.74129,8.33
1784966453.4742343,0.75124,8.33
1784966453.9749644,0.75439,8.15
1784966454.4752655,0.75124,8.15
1784966454.9760244,0.74937,8.15
1784966455.4782393,0.75434,8.15
1784966455.979001,0.75561,8.15
1784966456.479783,0.7475,8.15
1784966456.9802444,0.74813,8.15
1784966457.4810197,0.7625,8.15
1784966457.9822466,0.7475,8.15
1784966458.4830098,0.74813,8.15
1784966458.9837995,0.7606,7.65
1784966459.4863012,0.7525,7.65
1784966459.98712,0.745,7.65
1784966460.490261,0.75556,7.65
1784966460.9910264,0.755,7.65
1784966461.4918857,0.75062,7.65
1784966461.9922953,0.75689,7.65
1784966462.4932501,0.74876,7.65
1784966462.9952495,0.75312,7.65
1784966463.4960902,0.75561,7.65
1784966463.9968917,0.75312,7.52
1784966464.499261,0.75062,7.52
1784966465.0001056,0.7525,7.52
1784966465.5012722,0.75871,7.52
1784966466.0022314,0.74378,7.52
1784966466.5030484,0.755,7.52
1784966467.0053024,0.75622,7.52
1784966467.5061064,0.7525,7.52
1784966468.006874,0.7525,7.52
1784966468.5072422,0.75124,7.52
1784966469.0079906,0.75561,7.24
1784966469.50878,0.7375,7.24
1784966470.0102956,0.7606,7.24
1784966470.5111485,0.7575,7.24
1784966471.0119464,0.74564,7.24
1784966471.5132716,0.7581,7.24
1784966472.0162425,0.75682,7.24
1784966472.5170262,0.745,7.24
1784966473.0178928,0.7525,7.24
1784966473.5186963,0.7575,7.24
1784966474.0194802,0.75062,7.14
1784966474.520257,0.74813,7.14
1784966475.021048,0.75188,7.14
1784966475.5218215,0.75124,7.14
1784966476.0222883,0.7525,7.14
1784966476.5230455,0.75,7.14
1784966477.0238397,0.7475,7.14
1784966477.5243134,0.75561,7.14
1784966478.026267,0.7525,7.14
1784966478.5282574,0.7606,7.14
1784966479.0290306,0.74564,7.05
1784966479.5312767,0.74876,7.05
1784966480.032026,0.7575,7.05
1784966480.5328207,0.755,7.05
1784966481.033621,0.74314,7.05
1784966481.5362499,0.7581,7.05
1784966482.0370889,0.75312,7.05
1784966482.5378933,0.74436,7.05
1784966483.0402648,0.7599,7.05
1784966483.543245,0.75062,7.05
1784966484.0441077,0.75312,6.96
1784966484.5449376,0.7525,6.96
1784966485.0482652,0.75248,6.96
1784966485.549129,0.75689,6.96
1784966486.0522711,0.75,6.96
1784966486.5531528,0.75439,6.96
1784966487.0552816,0.74938,6.96
1784966487.556097,0.74937,6.96
1784966488.056876,0.75062,6.96
1784966488.557703,0.76,6.96
1784966489.058276,0.75186,6.89
1784966489.5612817,0.75561,6.89
1784966490.0632942,0.75124,6.89
1784966490.5641692,0.75,6.89
1784966491.0672872,0.75871,6.89
1784966491.5680752,0.75,6.89
1784966492.0712714,0.74938,6.89
1784966492.5720632,0.7606,6.89
1784966493.0729268,0.75,6.89
1784966493.5738313,0.745,6.89
1784966494.076305,0.76179,6.81
1784966494.5771081,0.7525,6.81
1784966495.0782738,0.74378,6.81
1784966495.579151,0.76309,6.81
1784966496.079971,0.74378,6.81
1784966496.5812912,0.75312,6.81
1784966497.0821118,0.75,6.81
1784966497.5832663,0.75,6.81
1784966498.0840387,0.75312,6.81
1784966498.587268,0.74627,6.81
1784966499.0880334,0.76,6.67
1784966499.5888398,0.74564,6.67
1784966500.0902755,0.7581,6.67
1784966500.5910292,0.76,6.67
1784966501.0917916,0.745,6.67
1784966501.593229,0.75871,6.67
1784966502.0939825,0.75188,6.67
1784966502.5942385,0.74564,6.67
1784966503.094999,0.75062,6.67
1784966503.598239,0.75871,6.67
1784966504.0990157,0.74564,6.54
1784966504.6002405,0.75312,6.54
1784966505.1010072,0.7594,6.54
1784966505.6032586,0.7469,6.54
1784966506.1040146,0.7525,6.54
1784966506.6047897,0.75561,6.54
1784966507.1052532,0.75312,6.54
1784966507.6058445,0.7525,6.54
1784966508.1062992,0.75561,6.54
1784966508.606798,0.74687,6.54
1784966509.1072993,0.74813,6.41
1784966509.6092315,0.7606,6.41
